"titel","registernr","volg1","rol1","scan1","volg2","rol2","scan2"
"Nr. 2, 3. bind. Fra Nordsøen 1849","259130","48357084","360","416","48357222","360","554"
"Nr. 2, 4. bind. Fra Nordsøen 1849","259131","48357223","360","555","48357339","360","671"
"Nr. 2, 5. bind. Fra Østersøen 1849","259132","48357340","361","2","48357566","361","229"
"Nr. 2, 6. bind. Fra Østersøen 1849","259133","48357567","361","230","48357793","361","456"
"Nr. 2, 7. bind. Fra Østersøen 1849","259134","48357794","361","457","48357904","361","567"
"Nr. 2, 8. bind. Fra Østersøen 1849","259135","48357905","362","2","48358074","362","171"
"Nr. 2, 9. bind. Ballast 1849","259136","48358075","362","172","48358147","362","244"
"Nr. 2, 10. bind. Ballast 1849","259137","48358148","362","245","48358215","362","312"
"Nr. 2, 1. bind. Fra Nordsøen 1850","259138","48358216","362","313","48358519","362","616"
"Nr. 2, 2. bind. Fra Nordsøen 1850","259139","48358520","363","2","48358734","363","216"
"Nr. 2, 3. bind. Fra Nordsøen 1850","259140","48358735","363","217","48358853","363","335"
"Nr. 2, 4. bind. Fra Nordsøen 1850","259141","48358854","363","336","48358857","363","339"
"Nr. 2, 5. bind. Fra Østersøen 1850","259142","48358858","363","340","48359159","363","641"
"Nr. 2, 6. bind. Fra Østersøen 1850","259143","48359160","364","2","48359414","364","256"
"Nr. 2, 7. bind. Fra Østersøen 1850","259144","48359415","364","257","48359523","364","365"
"Nr. 2, 8. bind. Fra Østersøen 1850","259145","48359524","364","366","48359529","364","371"
"Nr. 2, 9. bind. Ballast 1850","259146","48359530","364","372","48359535","364","377"
"Nr. 2, 10. bind. Ballast 1850","259147","48359536","364","378","48359541","364","383"
"Nordsøen 1851 1 1 - Nordsøen 1851 6 25","259509","48412568","365","4","48412821","365","257"
"Nordsøen 1851 6 25 - Nordsøen 1851 10 8","259510","48412822","365","259","48413074","365","511"
"Nordsøen 1851 10 8 - Nordsøen 1851 12 31","259511","48413075","365","513","48413211","365","649"
"Østersøen 1851 1 1 - Østersøen 1851 7 5","259512","48413212","366","4","48413464","366","256"
"Østersøen 1851 7 5 - Østersøen 1851 10 16","259513","48413465","366","258","48413717","366","510"
