cid,city,country,lat,lon,in_hre,in_cne,city_id,name_loc
447,Chemnitz,Germany,50.83,12.92,True,True,9017,Chemnitz
476,Clausthal Zellerfeld,Germany,51.8,10.33,True,True,12025,Clausthal-Zellerfeld
482,Coburg,Germany,50.25,10.97,True,True,22024,Coburg
483,Coesfeld,Germany,51.93,7.17,True,True,13034,Coesfeld
513,Cottbus,Germany,51.72,14.35,True,True,7033,Cottbus
522,Cronenberg,Germany,51.2,7.13,True,True,14115,Wuppertal-Cronenberg
535,Darmstadt,Germany,49.88,8.67,True,True,15015,Darmstadt
547,Dessau,Germany,51.83,12.23,True,True,11028,Dessau
556,Dinkelsbuehl,Germany,49.07,10.35,True,True,22027,Dinkelsbuehl
560,Doebeln,Germany,51.12,13.12,True,True,9023,Doebeln
568,Dortmund,Germany,51.52,7.47,True,True,13039,Dortmund
575,Dresden,Germany,51.05,13.73,True,True,9025,Dresden
582,Dueren,Germany,50.8,6.5,True,True,14018,Dueren
583,Duesseldorf,Germany,51.2,6.78,True,True,14019,Duesseldorf
584,Duisburg,Germany,51.42,6.77,True,True,14022,Duisburg
592,Ebersbach,Germany,51.0,14.58,True,True,9026,Ebersbach
601,Eichstaett,Germany,48.9,11.22,True,True,22032,Eichstaett
602,Eilenburg,Germany,51.45,12.62,True,True,11034,Eilenburg
603,Einbeck,Germany,51.82,9.87,True,True,12033,Einbeck
605,Eisenach,Germany,50.98,10.32,True,True,10019,Eisenach
607,Eisleben,Germany,51.52,11.53,True,True,11035,Eisleben
610,Elberfeld,Germany,51.27,7.13,True,True,14116,Wuppertal-Elberfeld
612,Elblag,Poland,54.17,19.42,False,True,1018,Elbing
620,Emden,Germany,53.37,7.2,True,True,12037,Emden
621,Emmerich,Germany,51.83,6.27,True,True,14026,Emmerich
629,Erfurt,Germany,50.97,11.02,True,True,11039,Erfurt
630,Erlangen,Germany,49.6,11.02,True,True,22035,Erlangen
631,Eschweiler,Germany,50.82,6.27,True,True,14028,Eschweiler
633,Essen,Germany,51.47,7.02,True,True,14029,Essen
634,Esslingen,Germany,48.75,9.32,True,True,16017,Esslingen/Neckar
664,Flensburg,Germany,54.78,9.43,True,True,5011,Flensburg
678,Frankenberg,Germany,50.9,13.02,True,True,9035,Frankenberg/Sa
680,Frankfurt am Main,Germany,50.1,8.67,True,True,15027,Frankfurt
681,Frankfurt am Oder,Germany,52.33,14.55,True,True,7045,Frankfurt (Oder)
682,Freiberg,Germany,50.9,13.33,True,True,9037,Freiberg
683,Freiburg,Germany,47.98,7.85,True,True,21018,Freiburg/Br.
690,Fuerth,Germany,49.47,10.98,True,True,22039,Fuerth
691,Fulda,Germany,50.55,9.68,True,True,15036,Fulda
704,Gdansk,Poland,54.38,18.67,False,True,1013,Danzig
708,Gelsenkirchen,Germany,51.52,7.1,True,True,13055,Gelsenkirchen
713,Gera,Germany,50.7,12.18,True,True,10026,Gera
719,Giessen,Germany,50.58,8.7,True,True,15043,Giessen
729,Glauchau,Germany,50.82,12.53,True,True,9045,Glauchau
730,Gliwice,Poland,50.28,18.67,False,True,8032,Gleiwitz
731,Glogow,Poland,51.67,16.08,False,True,8033,Glogau
733,Glueckstadt,Germany,53.78,9.42,True,True,5016,Glueckstadt
737,Goeppingen,Germany,48.7,9.67,True,True,16026,Goeppingen
738,Goerlitz,Germany,51.15,14.99,True,True,8034,Goerlitz
741,Goettingen,Germany,51.53,9.95,True,True,12048,Goettingen
745,Gorzow Wielkopolski,Poland,52.7,15.2,False,True,7071,Landsberg (Warthe)
746,Goslar,Germany,51.9,10.42,True,True,12049,Goslar
748,Gotha,Germany,50.95,10.72,True,True,10028,Gotha
762,Greifswald,Germany,54.08,13.38,True,True,2009,Greifswald
764,Grimma,Germany,51.23,12.72,True,True,9047,Grimma
768,Grossenhain,Germany,51.28,13.52,True,True,9049,Grossenhain
774,Gubin,Poland,51.98,14.7,False,True,7059,Guben
776,Guestrow,Germany,53.8,12.17,True,True,4015,Guestrow
780,Gusev,Russia,54.6,22.2,False,False,1029,Gumbinnen
785,Hagen,Germany,51.37,7.48,True,True,13063,Hagen
790,Halberstadt,Germany,51.9,11.07,True,True,11058,Halberstadt
793,Halle,Germany,51.48,11.97,True,True,11060,Halle a. d. S.
794,Hamburg,Germany,53.55,9.98,True,True,6001,Hamburg
795,Hameln,Germany,52.1,9.35,True,True,12052,Hameln
797,Hamm,Germany,51.67,7.82,True,True,13067,Hamm
799,Hanau,Germany,50.13,8.92,True,True,15055,Hanau
800,Hannover,Germany,52.4,9.73,True,True,12053,Hannover
801,Harburg,Germany,48.78,10.68,True,True,23055,Harburg (Schwaben)
809,Hattingen,Germany,51.4,7.18,True,True,13069,Hattingen
812,Heidelberg,Germany,49.42,8.72,True,True,20013,Heidelberg
813,Heilbronn,Germany,49.13,9.22,True,True,16033,Heilbronn
816,Helmstedt,Germany,52.22,11.0,True,True,12059,Helmstedt
820,Herford,Germany,52.1,8.67,True,True,13073,Herford
822,Herne,Germany,51.55,7.22,True,True,13074,Herne
824,Hildesheim,Germany,52.15,9.95,True,True,12062,Hildesheim
828,Hof,Germany,50.3,11.92,True,True,22058,Hof
837,Hueckeswagen,Germany,51.13,7.33,True,True,14048,Hueckeswagen
843,Husum,Germany,54.47,9.05,True,True,5019,Husum
