city_id,comment,time_point,type_conflict,type_detail,warlabel,overreported,uncertainty,range,ThirtyYW_leader,ThirtyYW_conflict_party,ThirtyYW_territory,ThirtyYW_country,source
2005,"Nach Kapitulation von Franzburg bei D. 1627 wurde D. Von Kaiserl. Mehrfach besetzt,belagert und von Schweden eingenommen",1627,3,cd1,0,0,1,2,,,,,"10, 11"
2005,"Nach Kapitulation von Franzburg bei D. 1627 wurde D. Von Kaiserl. Mehrfach besetzt,belagert und von Schweden eingenommen",1627,1,e2,0,0,1,2,,,,,"10, 11"
2005,"Nach Kapitulation von Franzburg bei D. 1627 wurde D. Von Kaiserl. Mehrfach besetzt,belagert und von Schweden eingenommen",1627,3,d2,0,0,1,2,,,,,"10, 11"
2007,1639 zerstoerten die Schweden die Stadt voellig,1639,2,a1,2,0,0,0,28,2,21,7,"10, 11"
2007,1713 verwuesteten die Russen aus Rache fuer die Zerstoerung Altonas durch den schwed. General Grad Steenbock die Stad bis aus die Kirche vollstaendig,1713,2,a1,0,0,0,0,,,,,"10, 11"
2007,Im 1.Nord Kriege wurde G. 1659 von den Polen besetzt und verbrannt,1659,3,cd1,0,0,0,0,,,,,"10, 11"
2007,Im 1.Nord Kriege wurde G. 1659 von den Polen besetzt und verbrannt,1659,2,a3,0,0,0,0,,,,,"10, 11"
2007,"Im 30jK wurde G. 1630,1636,1638, 1639 abswechselnd von den Kaiserl. Den Schweden und Brandenburgern besetzt",1630,3,cd1,2,0,0,0,5,1,29,3,"10, 11"
2007,"Im 30jK wurde G. 1630,1636,1638, 1639 abswechselnd von den Kaiserl. Den Schweden und Brandenburgern besetzt",1636,3,cd1,2,0,0,0,m,0,0,0,"10, 11"
2007,"Im 30jK wurde G. 1630,1636,1638, 1639 abswechselnd von den Kaiserl. Den Schweden und Brandenburgern besetzt",1638,3,cd1,2,0,0,0,m,0,0,0,"10, 11"
2007,"Im 30jK wurde G. 1630,1636,1638, 1639 abswechselnd von den Kaiserl. Den Schweden und Brandenburgern besetzt",1639,3,cd1,2,0,0,0,m,0,0,0,"10, 11"
